Event,Team,Date,Time,Location,Description
Basketball Game,PRAIRIE DOGS,1/5/2013,9:00 AM,Salem Middle School,PRAIRIE DOGS VS PYTHONS
Basketball Game,PYTHONS,1/5/2013,9:00 AM,Salem Middle School,PRAIRIE DOGS VS PYTHONS
Basketball Game,MATADORS,1/5/2013,10:00 AM,Salem Middle School,MATADORS VS ZIPS
Basketball Game,ZIPS,1/5/2013,10:00 AM,Salem Middle School,MATADORS VS ZIPS
Basketball Game,BOBCATS,1/5/2013,11:00 AM,Salem Middle School,BOBCATS VS BUZZSAWS
Basketball Game,BUZZSAWS,1/5/2013,11:00 AM,Salem Middle School,BOBCATS VS BUZZSAWS
Basketball Game,BAZOOKAS,1/5/2013,12:00 PM,Salem Middle School,BAZOOKAS VS BISONS
Basketball Practice,BISONS,11/27/2012,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / BISONS / PRAIRIE DOGS
Basketball Game,JACKHAMMERS,1/5/2013,1:00 PM,Salem Middle School,JACKHAMMERS VS KINGS
Basketball Game,KINGS,1/5/2013,1:00 PM,Salem Middle School,JACKHAMMERS VS KINGS
Basketball Game,THUNDERBOLTS,1/5/2013,2:00 PM,Salem Middle School,THUNDERBOLTS VS YELLOW JACKETS
Basketball Game,YELLOW JACKETS,1/5/2013,2:00 PM,Salem Middle School,THUNDERBOLTS VS YELLOW JACKETS
Basketball Game,VOLCANOS,1/5/2013,3:00 PM,Salem Middle School,VOLCANOS VS BEARS
Basketball Game,BEARS,1/5/2013,3:00 PM,Salem Middle School,VOLCANOS VS BEARS
Basketball Game,TIGERS,1/5/2013,4:00 PM,Salem Middle School,TIGERS VS JUGGERNAUTS
Basketball Game,JUGGERNAUTS,1/5/2013,4:00 PM,Salem Middle School,TIGERS VS JUGGERNAUTS
Basketball Game,VOLCANOS,1/12/2013,9:00 AM,Salem Middle School,VOLCANOS VS JACKHAMMERS
Basketball Game,JACKHAMMERS,1/12/2013,9:00 AM,Salem Middle School,VOLCANOS VS JACKHAMMERS
Basketball Game,BEARS,1/12/2013,10:00 AM,Salem Middle School,BEARS VS KINGS
Basketball Game,KINGS,1/12/2013,10:00 AM,Salem Middle School,BEARS VS KINGS
Basketball Game,PYTHONS,1/12/2013,11:00 AM,Salem Middle School,PYTHONS VS JUGGERNAUTS
Basketball Game,JUGGERNAUTS,1/12/2013,11:00 AM,Salem Middle School,PYTHONS VS JUGGERNAUTS
Basketball Game,PRAIRIE DOGS,1/12/2013,12:00 PM,Salem Middle School,PRAIRIE DOGS VS TIGERS
Basketball Game,TIGERS,1/12/2013,12:00 PM,Salem Middle School,PRAIRIE DOGS VS TIGERS
Basketball Game,MATADORS,1/12/2013,1:00 PM,Salem Middle School,MATADORS VS BOBCATS
Basketball Game,BOBCATS,1/12/2013,1:00 PM,Salem Middle School,MATADORS VS BOBCATS
Basketball Practice,BISONS,12/1/2012,3:00 PM,Salem Middle School,BOBCATS / BISONS
Basketball Game,THUNDERBOLTS,1/12/2013,2:00 PM,Salem Middle School,BISONS VS THUNDERBOLTS
Basketball Game,BAZOOKAS,1/12/2013,3:00 PM,Salem Middle School,BAZOOKAS VS YELLOW JACKETS
Basketball Game,YELLOW JACKETS,1/12/2013,3:00 PM,Salem Middle School,BAZOOKAS VS YELLOW JACKETS
Basketball Game,ZIPS,1/12/2013,4:00 PM,Salem Middle School,ZIPS VS BUZZSAWS
Basketball Game,BUZZSAWS,1/12/2013,4:00 PM,Salem Middle School,ZIPS VS BUZZSAWS
Basketball Game,BAZOOKAS,1/19/2013,9:00 AM,Salem Middle School,BAZOOKAS VS THUNDERBOLTS
Basketball Game,THUNDERBOLTS,1/19/2013,9:00 AM,Salem Middle School,BAZOOKAS VS THUNDERBOLTS
Basketball Game,BUZZSAWS,1/19/2013,10:00 AM,Salem Middle School,BUZZSAWS VS BISONS
Basketball Practice,BISONS,12/6/2012,8:00 PM,Salem Middle School,THUNDERBOLTS / BISONS / TIGERS
Basketball Game,YELLOW JACKETS,1/19/2013,11:00 AM,Salem Middle School,YELLOW JACKETS VS TIGERS
Basketball Game,TIGERS,1/19/2013,11:00 AM,Salem Middle School,YELLOW JACKETS VS TIGERS
Basketball Game,VOLCANOS,1/19/2013,12:00 PM,Salem Middle School,VOLCANOS VS BOBCATS
Basketball Game,BOBCATS,1/19/2013,12:00 PM,Salem Middle School,VOLCANOS VS BOBCATS
Basketball Game,MATADORS,1/19/2013,1:00 PM,Salem Middle School,MATADORS VS PYTHONS
Basketball Game,PYTHONS,1/19/2013,1:00 PM,Salem Middle School,MATADORS VS PYTHONS
